Pathways	Object ID	Sub-Pathways
CMP-pseudaminate biosynthesis	PWY-6143	
allopregnanolone biosynthesis	PWY-7455	
L-arginine degradation VIII (arginine oxidase pathway)	ARGDEG-IV-PWY	
mitomycin biosynthesis	PWY-8039	
CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis	PWY-7529	
parkeol biosynthesis	PWY-8027	
&gamma;-glutamyl cycle	PWY-4041	glutathione biosynthesis
CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis	PWY-6140	
cholesterol biosynthesis II (via 24,25-dihydrolanosterol)	PWY66-3	"lanosterol biosynthesis"" // ""epoxysqualene biosynthesis"
L-arginine degradation V (arginine deiminase pathway)	ARGDEGRAD-PWY	L-citrulline degradation
penicillin K biosynthesis	PWY-5630	
superpathway of CMP-sialic acids biosynthesis	PWY-6145	"CMP-<i>N</i>-acetyl-7-<i>O</i>-acetylneuraminate biosynthesis"" // ""CMP-2-keto-3-deoxy-D-<i>glycero</i>-D-<i>galacto</i>-nononate biosynthesis"" // ""CMP-<i>N</i>-glycoloylneuraminate biosynthesis"" // ""CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)"" // ""CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)"
digitoxigenin biosynthesis	PWY-6032	
CMP-diacetamido-8-epilegionaminic acid biosynthesis	PWY-7719	
glutathione amide metabolism	PWY-4181	
superpathway of cholesterol biosynthesis	PWY66-5	"mevalonate pathway I"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"" // ""cholesterol biosynthesis III (via desmosterol)"" // ""cholesterol biosynthesis II (via 24,25-dihydrolanosterol)"" // ""cholesterol biosynthesis I"
superpathway of rifamycin B biosynthesis	PWY-5993	"rifamycin B biosynthesis"" // ""3-amino-5-hydroxybenzoate biosynthesis"" // ""kanosamine biosynthesis I"
CMP-<i>N</i>-glycoloylneuraminate biosynthesis	PWY-6144	
fumigaclavine biosynthesis	PWY-7059	
zymosterol biosynthesis	PWY-6074	
CMP-8-amino-3,8-dideoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-7674	
mycothiol oxidation	PWY1G-126	
sterol:steryl ester interconversion (yeast)	PWY-7424	
benzenesulfonate degradation	DESULFONATION-PWY	
kanamycin biosynthesis	PWY-7000	paromamine biosynthesis I
sterol biosynthesis (methylotrophs)	PWY-8026	
superpathway of coenzyme A biosynthesis I (bacteria)	PANTOSYN-PWY	"&beta;-alanine biosynthesis III"" // ""phosphopantothenate biosynthesis I"" // ""coenzyme A biosynthesis I (prokaryotic)"
glutathione biosynthesis	GLUTATHIONESYN-PWY	
cholesterol biosynthesis (plants)	PWY18C3-1	
3-(4-sulfophenyl)butanoate degradation	PWY-7521	
elloramycin biosynthesis	PWY-7483	
secologanin and strictosidine biosynthesis	PWY-5290	
nitrobenzene degradation II	PWY-5640	
cholesterol biosynthesis III (via desmosterol)	PWY66-4	"zymosterol biosynthesis"" // ""lanosterol biosynthesis"" // ""epoxysqualene biosynthesis"
stearate biosynthesis III (fungi)	PWY3O-355	
vitamin D<sub>3</sub> biosynthesis	PWY-6076	
mycothiol biosynthesis	PWY1G-0	
bile acid biosynthesis, neutral pathway	PWY-6061	
magnoflorine biosynthesis	PWY-5876	
4-sulfocatechol degradation	PWY-6041	
holomycin biosynthesis	PWY-7690	
7-dehydroporiferasterol biosynthesis	PWY-7155	
nonaprenyl diphosphate biosynthesis II	PWY-6520	
stearate biosynthesis II (bacteria and plants)	PWY-5989	
dehydro-D-arabinono-1,4-lactone biosynthesis	PWY3O-6	
thioredoxin pathway	THIOREDOX-PWY	
ursodeoxycholate biosynthesis (bacteria)	PWY-7588	
4-toluenesulfonate degradation II	PWY-5165	
6-methylpretetramide biosynthesis	PWY-7811	
gramine biosynthesis	PWY-5467	
nitrobenzene degradation I	PWY-5637	
cholesterol biosynthesis I	PWY66-341	"zymosterol biosynthesis"" // ""lanosterol biosynthesis"" // ""epoxysqualene biosynthesis"
geranyl diphosphate biosynthesis	PWY-5122	
stearate biosynthesis I (animals)	PWY-5972	
phylloquinol biosynthesis	PWY-5027	
glutathione-glutaredoxin redox reactions	GLUT-REDOX-PWY	
ergosterol biosynthesis I	PWY-6075	
chelerythrine biosynthesis	PWY-7507	
4-toluenesulfonate degradation I	TOLSULFDEG-PWY	
superpathway of ergosterol biosynthesis I	ERGOSTEROL-SYN-PWY	"lanosterol biosynthesis"" // ""mevalonate pathway I"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"" // ""ergosterol biosynthesis I"" // ""zymosterol biosynthesis"" // ""epoxysqualene biosynthesis"
nonaprenyl diphosphate biosynthesis I	PWY-5805	
vitamin K-epoxide cycle	PWY-7999	
glutathione-peroxide redox reactions	PWY-4081	
superpathway of ergosterol biosynthesis II	PWY-7156	"ergosterol biosynthesis II"" // ""methylerythritol phosphate pathway I"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"" // ""epoxysqualene biosynthesis"
L-arginine biosynthesis I (via L-ornithine)	ARGSYN-PWY	L-ornithine biosynthesis I
ergotamine biosynthesis	PWY-6495	
4-chloronitrobenzene degradation	PWY-5645	
ergosterol biosynthesis II	PWY-7154	
all <i>trans</i> undecaprenyl diphosphate biosynthesis	PWY-5816	
vitamin E biosynthesis (tocopherols)	PWY-1422	
homoglutathione biosynthesis	PWY-6840	
ergothioneine biosynthesis I (bacteria)	PWY-7255	
epiberberine biosynthesis	PWY-8031	
gibberellin inactivation I (2&beta;-hydroxylation)	PWY-102	
L-arginine biosynthesis III (via <i>N</i>-acetyl-L-citrulline)	PWY-5154	
ergothioneine biosynthesis II (fungi)	PWY-7550	
mono-<i>trans</i>, poly-<i>cis</i> decaprenyl phosphate biosynthesis	PWY-6383	
vitamin E biosynthesis (tocotrienols)	PWY-7436	
bacillithiol biosynthesis	PWY8J2-1	
L-arginine biosynthesis II (acetyl cycle)	ARGSYNBSUB-PWY	
triclosan resistance	PWY-7096	
toluene degradation III (aerobic) (via <i>p</i>-cresol)	PWY-5181	"4-methylphenol degradation to protocatechuate"" // ""3-oxoadipate degradation"" // ""protocatechuate degradation II (ortho-cleavage pathway)"" // ""toluene degradation to 4-methylphenol"
acetylaszonalenin biosynthesis	PWY-7532	
superpathway of glycolysis and the Entner-Doudoroff pathway	GLYCOLYSIS-E-D	"glycolysis I (from glucose 6-phosphate)"" // ""Entner-Doudoroff shunt"
L-rhamnose degradation I	RHAMCAT-PWY	
polyisoprenoid biosynthesis (<i>E. coli</i>)	POLYISOPRENSYN-PWY	"octaprenyl diphosphate biosynthesis"" // ""di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"" // ""<i>trans, trans</i>-farnesyl diphosphate biosynthesis"
galactitol degradation	GALACTITOLCAT-PWY	
D-sorbitol degradation II	SORBDEG-PWY	
morphine biosynthesis	PWY-5270	
3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMHPDEG-PWY	
linezolid resistance	PWY-6828	
gibberellin inactivation III (epoxidation)	PWY-6494	
superpathway of dTDP-glucose-derived O-antigen building blocks biosynthesis	PWY-7317	"dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-glucose biosynthesis"" // ""dTDP-D-&beta;-fucofuranose biosynthesis"" // ""dTDP-3-acetamido-&alpha;-D-fucose biosynthesis"" // ""dTDP-<i>N</i>-acetylthomosamine biosynthesis"" // ""dTDP-<i>N</i>-acetylviosamine biosynthesis"" // ""dTDP-L-rhamnose biosynthesis"
L-arginine biosynthesis IV (archaebacteria)	PWY-7400	
3-methylbutanol biosynthesis (engineered)	PWY-6871	
mannitol degradation I	MANNIDEG-PWY	
di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	PWY-5785	
CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	PWY-6139	
taurine degradation IV	PWY0-981	
mannitol cycle	PWY-6531	
polymyxin resistance	PWY0-1338	
CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	PWY-6138	
superpathway of dTDP-glucose-derived antibiotic building blocks biosynthesis	PWY-7438	"dTDP-D-olivose, dTDP-D-oliose and dTDP-D-mycarose biosynthesis"" // ""dTDP-L-mycarose biosynthesis"" // ""dTDP-L-megosamine biosynthesis"" // ""dTDP-L-olivose biosynthesis"" // ""dTDP-D-forosamine biosynthesis"
ajmaline and sarpagine biosynthesis	PWY-5301	
monoterpene biosynthesis	PWY-3041	
L-rhamnose degradation III	PWY-6714	
D-threitol degradation	PWY-7786	
heptaprenyl diphosphate biosynthesis	PWY-5807	
superpathway of tetrahydrofolate biosynthesis and salvage	FOLSYN-PWY	"tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate"" // ""superpathway of tetrahydrofolate biosynthesis"
carbon disulfide oxidation I (anaerobic)	PWY-1164	
D-arabitol degradation	DARABITOLUTIL-PWY	
bisbenzylisoquinoline alkaloid biosynthesis	PWY-5472	
4-methylphenol degradation to protocatechuate	PWY-7700	
4-ethylphenol degradation (anaerobic)	PWY-6080	
peptidoglycan biosynthesis IV (Enterococcus faecium)	PWY-6471	"peptidoglycan cross-bridge biosynthesis II (E. faecium)"" // ""UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)"
gibberellin inactivation II (methylation)	PWY-6477	
carbon disulfide oxidation III (metazoa)	PWY-7926	
superpathway of glycosphingolipids biosynthesis	PWY-7835	"neolacto-series glycosphingolipids biosynthesis"" // ""lacto-series glycosphingolipids biosynthesis"" // ""globo-series glycosphingolipids biosynthesis"" // ""ganglio-series glycosphingolipids biosynthesis"
NADH repair	PWY-6938	
ribitol degradation	RIBITOLUTIL-PWY	
tridecaprenyl diphosphate biosynthesis	PWY-5893	
carbon disulfide oxidation II (aerobic)	PWY-5336	
folate polyglutamylation	PWY-2161	
taurine degradation II	PWY-1264	
xylitol degradation	LARABITOLUTIL-PWY	
peptidoglycan biosynthesis V (&beta;-lactam resistance)	PWY-6470	UDP-<i>N</i>-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)
CMP-legionaminate biosynthesis I	PWY-6749	
toluene degradation VI (anaerobic)	PWY-5184	"glutaryl-CoA degradation"" // ""benzoyl-CoA degradation II (anaerobic)"" // ""toluene degradation to benzoyl-CoA (anaerobic)"
chanoclavine I aldehyde biosynthesis	PWY-6493	
superpathway of thiosulfate metabolism (<i>Desulfovibrio sulfodismutans</i>)	PWY-5306	"sulfite oxidation III"" // ""thiosulfate disproportionation I (thiol-dependent)"
L-rhamnose degradation II	PWY-6713	
<I>myo</I>-inositol degradation I	P562-PWY	
hexaprenyl diphosphate biosynthesis	HEXPPSYN-PWY	
CMP-legionaminate biosynthesis II	PWY-7131	
glutamate removal from folates	PWY-2161B	
<I>myo</I>-inositol degradation II	PWY-7241	
papaverine biosynthesis	PWY-7363	
toluene degradation to 2-hydroxypentadienoate I (<I>via</I> <i>o</I>-cresol)	TOLUENE-DEG-2-OH-PWY	
bisphenol A degradation	PWY-7757	
carbon tetrachloride degradation I	PWY-5370	
L-tryptophan degradation XI (mammalian, via kynurenine)	PWY-6309	"anthranilate degradation IV (aerobic)"" // ""L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"" // ""2-amino-3-carboxymuconate semialdehyde degradation to glutaryl-CoA"
bisabolene biosynthesis (engineered)	PWY-7102	
D-altritol and galactitol degradation	PWY-7862	
octaprenyl diphosphate biosynthesis	PWY-5783	
carbon tetrachloride degradation II	PWY-5372	
4-aminobenzoate biosynthesis	PWY-6543	
taurine degradation III	TAURINEDEG-PWY	
superpathway of hexitol degradation (bacteria)	HEXITOLDEGSUPER-PWY	"glycolysis II (from fructose 6-phosphate)"" // ""galactitol degradation"" // ""D-sorbitol degradation II"" // ""mannitol degradation I"
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	PWY-1269	
superpathway of UDP-<I>N</i>-acetylglucosamine-derived O-antigen building blocks biosynthesis	PWY-7332	"UDP-<i>N</i>-acetyl-D-galactosamine biosynthesis I"" // ""UDP-<i>N</i>-acetyl-D-glucosamine biosynthesis I"" // ""UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate biosynthesis"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-galactosaminuronate biosynthesis"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-mannosaminouronate biosynthesis"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-fucosamine biosynthesis"" // ""UDP-<i>N</i>-acetyl-&alpha;-D-quinovosamine biosynthesis"" // ""UDP-<i>N</i>-acetyl-&beta;-L-quinovosamine biosynthesis"" // ""UDP-<i>N</i>-acetyl-&beta;-L-fucosamine biosynthesis"
terrequinone A biosynthesis	PWY-7520	
superpathway of glyoxylate cycle and fatty acid degradation	PWY-561	"glyoxylate cycle"" // ""fatty acid &beta;-oxidation II (plant peroxisome)"
L-lactaldehyde degradation (aerobic)	PWY0-1317	
D-sorbitol degradation I	PWY-4101	
all-<i>trans</i>-decaprenyl diphosphate biosynthesis	PWY-5806	
superpathway of tetrahydrofolate biosynthesis	PWY-6612	"4-aminobenzoate biosynthesis"" // ""6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"" // ""tetrahydrofolate biosynthesis"
superpathway of pyrimidine ribonucleosides salvage	PWY-7196	"CMP phosphorylation"" // ""UTP and CTP <i>de novo</i> biosynthesis"" // ""pyrimidine nucleobases salvage I"" // ""pyrimidine ribonucleosides salvage I"" // ""pyrimidine ribonucleosides salvage II"
<i>myo</i>-, <i>chiro</i>- and <i>scyllo</i>-inositol degradation	PWY-7237	<I>myo</I>-inositol degradation I
coptisine biosynthesis	PWY-8030	
toluene degradation to benzoate	TOLUENE-DEG-CATECHOL-PWY	
2,4-dinitroanisole degradation	PWY-7628	
3-phenylpropanoate degradation	P281-PWY	gentisate degradation I
<i>ent</i>-kaurene biosynthesis I	PWY-5032	
aspartate superpathway	PWY0-781	"S-adenosyl-L-methionine biosynthesis"" // ""NAD <i>de novo</i> biosynthesis I (from aspartate)"" // ""superpathway of L-lysine, L-threonine and L-methionine biosynthesis I"" // ""L-aspartate biosynthesis"
ethylene glycol biosynthesis (engineered)	PWY-7178	
L-threitol degradation	PWY-7787	
dodecaprenyl diphosphate biosynthesis	PWY-5817	
glucosylglycerate biosynthesis II	PWY-6685	
superpathway of pyrimidine deoxyribonucleoside salvage	PWY-7200	"pyrimidine deoxyribonucleosides salvage"" // ""pyrimidine deoxyribonucleotide phosphorylation"
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	PWY-6613	
taurine degradation I	PWY-1263	
erythritol degradation I	PWY-7789	
tetramethylpyrazine degradation	PWY-7403	
superpathway of purines degradation in plants	P165-PWY	"purine nucleotides degradation I (plants)"" // ""allantoin degradation to glyoxylate I"" // ""urate conversion to allantoin I"
vindoline, vindorosine and vinblastine biosynthesis	PWY-5292	
ethylmalonyl-CoA pathway	PWY-5741	
L-lactaldehyde degradation (anaerobic)	PWY0-1315	
erythritol degradation II	PWY-7788	
<i>trans, trans</i>-farnesyl diphosphate biosynthesis	PWY-5123	
pyrimidine nucleobases salvage I	PWY-7183	
tetrahydrofolate biosynthesis	PWY-6614	
berberine biosynthesis	PWY-3901	
toluene degradation to benzoyl-CoA (anaerobic)	PWY-81	
5-nitroanthranilate degradation	PWY-7044	
cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	PWY-6690	
GA<sub>12</sub> biosynthesis	PWY-5034	
superpathway of fumitremorgin biosynthesis	PWY-7537	"fumitremorgin A biosynthesis"" // ""fumitremorgin C biosynthesis"
formaldehyde oxidation I	RUMP-PWY	
allantoin degradation to glyoxylate I	PWY-5694	allantoin degradation to ureidoglycolate I (urea producing)
glucosylglycerate biosynthesis I	PWY-5662	
nitrate reduction II (assimilatory)	PWY-381	
pyrimidine ribonucleosides salvage III	PWY-7195	
6-hydroxymethyl-dihydropterin diphosphate biosynthesis V (<i>Pyrococcus</i>)	PWY-7853	
oleandomycin activation/inactivation	PWY-6972	
superpathway of fucose and rhamnose degradation	FUC-RHAMCAT-PWY	"L-lactaldehyde degradation (anaerobic)"" // ""L-lactaldehyde degradation (aerobic)"" // ""fucose degradation"" // ""L-rhamnose degradation I"
beta-carboline biosynthesis	PWY-5877	
<i>all-trans</i>-farnesol biosynthesis	PWY-6859	
allantoin degradation to glyoxylate III	PWY-5705	allantoin degradation to ureidoglycolate II (ammonia producing)
phenylethyl acetate biosynthesis	PWY-7075	
daidzein conjugates interconversion	PWY-2343	
pyrimidine deoxyribonucleosides salvage	PWY-7199	
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	PWY-6147	
maackiain conjugates interconversion	PWY-2701	
palmatine biosynthesis	PWY-5470	
toluene degradation to 4-methylphenol	TOLUENE-DEG-4-OH-PWY	
2,4,6-trinitrotoluene degradation	PWY-6051	
superpathway of gibberellin biosynthesis	PWY-5052	"superpathway of gibberellin GA<sub>12</sub> biosynthesis"" // ""gibberellin biosynthesis V"" // ""gibberellin biosynthesis I (non C-3, non C-13 hydroxylation)"" // ""gibberellin biosynthesis III (early C-13 hydroxylation)"" // ""gibberellin biosynthesis II (early C-3 hydroxylation)"
UDP-sugars interconversion	PWY-5114	"UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)"" // ""UDP-&alpha;-D-galactose biosynthesis"" // ""UDP-D-apiose biosynthesis (from UDP-D-glucuronate)"" // ""UDP-&alpha;-D-galacturonate biosynthesis I (from UDP-D-glucuronate)"" // ""UDP-&alpha;-D-xylose biosynthesis"" // ""UDP-&beta;-L-arabinose biosynthesis I (from UDP-&alpha;-D-xylose)"" // ""UDP-&beta;-L-rhamnose biosynthesis"
superpathway of histidine, purine, and pyrimidine biosynthesis	PRPP-PWY	"PRPP biosynthesis"" // ""superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"" // ""superpathway of purine nucleotides <i>de novo</i> biosynthesis II"" // ""L-histidine biosynthesis"
afrormosin conjugates interconversion	PWY-5926	
glyoxylate cycle	GLYOXYLATE-BYPASS	
allantoin degradation to glyoxylate II	PWY-5692	allantoin degradation to ureidoglycolate II (ammonia producing)
methyl indole-3-acetate interconversion	PWY-6303	
&gamma;-resorcylate degradation I	PWY-7773	
nitrate reduction VI (assimilatory)	PWY490-3	
superpathway of pyrimidine nucleobases salvage	PWY-7208	"pyrimidine nucleobases salvage I"" // ""UTP and CTP <i>de novo</i> biosynthesis"
cichoriin interconversion	PWY-7057	
vanillin biosynthesis I	PWY-5665	
6-hydroxymethyl-dihydropterin diphosphate biosynthesis IV (Plasmodium)	PWY-7852	
oleate biosynthesis I (plants)	PWY-5147	
2-nitrotoluene degradation	PWY-5641	
homocysteine and cysteine interconversion	PWY-801	
superpathway of L-tryptophan biosynthesis	PWY-6629	"L-tryptophan biosynthesis"" // ""chorismate biosynthesis I"
medicarpin conjugates interconversion	PWY-2561	
isopropanol biosynthesis (engineered)	PWY-6876	
allantoin degradation to ureidoglycolate II (ammonia producing)	PWY-5698	
L-isoleucine biosynthesis II	PWY-5101	
formononetin conjugates interconversion	PWY-2904	
pyrimidine ribonucleosides salvage II	PWY-6556	
6-hydroxymethyl-dihydropterin diphosphate biosynthesis III (Chlamydia)	PWY-7539	
geranyl acetate biosynthesis	PWY-5835	
dehydroscoulerine biosynthesis	PWY-6337	
2,4-xylenol degradation to protocatechuate	PWY-7703	
4-nitrotoluene degradation II	PWY-5644	
superpathway of gibberellin GA<sub>12</sub> biosynthesis	PWY-5053	"GA<sub>12</sub> biosynthesis"" // ""<i>ent</i>-kaurene biosynthesis I"
acyl carrier protein metabolism	PWY-6012	
superpathway of glyoxylate bypass and TCA	TCA-GLYOX-BYPASS	"TCA cycle I (prokaryotic)"" // ""glyoxylate cycle"
daphnin interconversion	PWY-7056	
thiosulfate disproportionation I (thiol-dependent)	PWY-5277	
superpathway of allantoin degradation in plants	URDEGR-PWY	"urea degradation II"" // ""allantoin degradation to glyoxylate II"" // ""allantoin degradation to glyoxylate I"
oleate biosynthesis IV (anaerobic)	PWY-7664	
diadinoxanthin and diatoxanthin interconversion	PWY-7949	
&gamma;-resorcylate degradation II	PWY-7772	
nitrate reduction V (assimilatory)	PWY-5675	
pyrimidine nucleobases salvage II	PWY-7194	pyrimidine nucleobases salvage I
genistein conjugates interconversion	PWY-2345	
ethanol degradation III	PWY66-161	
6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (<i>Methanocaldococcus</i>)	PWY-6797	
oleate biosynthesis III (cyanobacteria)	PWY-7587	
4-nitrotoluene degradation I	P421-PWY	
biochanin A conjugates interconversion	PWY-2861	
superpathway of L-threonine metabolism	THREOCAT-PWY	"aminopropanol phosphate biosynthesis I"" // ""L-isoleucine biosynthesis I (from threonine)"" // ""L-threonine degradation I"" // ""L-threonine degradation II"" // ""L-threonine degradation III (to methylglyoxal)"" // ""L-threonine degradation IV"
abscisic acid degradation by glucosylation	PWY-5272	
methyl ketone biosynthesis (engineered)	PWY-7007	
superpathway of allantoin degradation in yeast	ALLANTOINDEG-PWY	"urea degradation I"" // ""allantoin degradation to glyoxylate I"
ethanol degradation I	ETOH-ACETYLCOA-ANA-PWY	
violaxanthin, antheraxanthin and zeaxanthin interconversion	PWY-5945	
L-isoleucine biosynthesis V	PWY-5108	
CMP phosphorylation	PWY-7205	
ethanol degradation II	PWY66-21	
(<i>R</i>)-canadine biosynthesis	PWY-7522	
toluene degradation to 2-hydroxypentadienoate (<I>via 4-methylcatechol</i>)	TOLUENE-DEG-3-OH-PWY	
L-asparagine degradation III (mammalian)	ASPARAGINE-DEG1-PWY-1	
2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	PWY-7627	
<i>ent</i> -kaurene biosynthesis II	PWY-6653	
superpathway of D-glucarate and D-galactarate degradation	GLUCARGALACTSUPER-PWY	"D-galactarate degradation I"" // ""<i>D</i>-glucarate degradation I"
oleate biosynthesis II (animals and fungi)	PWY-5996	
superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	PWY-5464	"TCA cycle II (plants and fungi)"" // ""glycolysis IV (plant cytosol)"" // ""pyruvate decarboxylation to acetyl CoA"
allantoin degradation to ureidoglycolate I (urea producing)	PWY-5697	
ethanol degradation IV	PWY66-162	
L-isoleucine degradation II	PWY-5078	
pyrimidine ribonucleosides salvage I	PWY-7193	
L-asparagine degradation I	ASPARAGINE-DEG1-PWY	
sciadonate biosynthesis	PWY-6598	
UDP-&alpha;-D-xylose biosynthesis	PWY-4821	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
superpathway of L-isoleucine biosynthesis I	PWY-3001	"L-isoleucine biosynthesis I (from threonine)"" // ""L-threonine biosynthesis"" // ""L-homoserine biosynthesis"" // ""L-aspartate biosynthesis"
ethylene biosynthesis IV (engineered)	PWY-7126	
allantoin degradation IV (anaerobic)	PWY0-41	allantoin degradation to ureidoglycolate II (ammonia producing)
sanguinarine and macarpine biosynthesis	PWY-5287	
toluene degradation to 2-hydroxypentadienoate (<I>via</I> toluene-<I>cis</I>-diol)	TOLUENE-DEG-DIOL-PWY	
L-asparagine degradation II	PWY-4002	
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation II	PWY-7174	
gibberellin biosynthesis IV (<i>Gibberella fujikuroi</i>)	PWY-5047	
L-tryptophan degradation IX	PWY-5655	"2-hydroxypenta-2,4-dienoate degradation"" // ""L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde"" // ""2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate"
(7Z,10Z,13Z)-hexadecatrienoate biosynthesis	PWY-7590	
farnesene biosynthesis	PWY-5725	
L-isoleucine degradation I	ILEUDEG-PWY	
juniperonate biosynthesis	PWY-7619	
hyperxanthone E biosynthesis	PWY-7169	"benzoyl-CoA biosynthesis"" // ""cinnamoyl-CoA biosynthesis"
L-isoleucine biosynthesis IV	PWY-5104	
sedoheptulose bisphosphate bypass	PWY0-1517	
ethylene biosynthesis III (microbes)	PWY-6854	
rubber degradation II	PWY-7925	
ethylene biosynthesis II (microbes)	PWY-6853	
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation I	PWY-4361	
gibberellin biosynthesis II (early C-3 hydroxylation)	PWY-5036	
pinolenate and coniferonate biosynthesis	PWY-7152	
sphingolipid biosynthesis (mammals)	PWY-7277	"sphingomyelin metabolism"" // ""ceramide <i>de novo</i> biosynthesis"
methylaspartate cycle	PWY-6728	
ethylene biosynthesis I (plants)	ETHYL-PWY	
rubber degradation I	PWY-7924	
glyphosate degradation III	PWY-7807	
archaetidylinositol biosynthesis	PWY-6350	CDP-archaeol biosynthesis
ethylene biosynthesis V (engineered)	PWY-7124	oxygenic photosynthesis
cyanide detoxification I	ASPSYNII-PWY	
superpathway of stearidonate biosynthesis (cyanobacteria)	PWY-7596	"oleate biosynthesis III (cyanobacteria)"" // ""linoleate biosynthesis III (cyanobacteria)"" // ""&gamma;-linolenate biosynthesis III (cyanobacteria)"" // ""stearidonate biosynthesis (cyanobacteria)"
superpathway of inositol phosphate compounds	PWY-6371	"inositol diphosphates biosynthesis"" // ""D-<i>myo</i>-inositol-5-phosphate metabolism"" // ""3-phosphoinositide biosynthesis"" // ""D-<i>myo</i>-inositol (1,4,5,6)-tetrakisphosphate biosynthesis"" // ""D-<i>myo</i>-inositol (3,4,5,6)-tetrakisphosphate biosynthesis"" // ""1D-<i>myo</i>-inositol hexakisphosphate biosynthesis II (mammalian)"
UDP-&alpha;-D-galactofuranose biosynthesis	PWY-7622	UDP-&alpha;-D-galactose biosynthesis
L-isoleucine biosynthesis I (from threonine)	ILEUSYN-PWY	
superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	GLYCOLYSIS-TCA-GLYOX-BYPASS	"superpathway of glyoxylate bypass and TCA"" // ""glycolysis I (from glucose 6-phosphate)"
shikimate degradation I	SHIKIMATEDEG-PWY	
phospholipid remodeling (phosphatidate, yeast)	PWY-7417	
tetrathionate reductiuon II (to trithionate)	PWY-5359	
gibberellin biosynthesis V	PWY-7232	
(4Z,7Z,10Z,13Z,16Z)-docosa-4,7,10,13,16-pentaenoate biosynthesis II (4-desaturase)	PWY-7728	
superpathway of phospholipid biosynthesis I (bacteria)	PHOSLIPSYN-PWY	"cardiolipin biosynthesis III"" // ""CDP-diacylglycerol biosynthesis II"" // ""phosphatidylserine and phosphatidylethanolamine biosynthesis I"" // ""cardiolipin biosynthesis I"" // ""CDP-diacylglycerol biosynthesis I"
superpathway of phosphatidylcholine biosynthesis	PWY4FS-5	"phosphatidylcholine biosynthesis IV"" // ""phosphatidylcholine biosynthesis III"" // ""phosphatidylcholine biosynthesis II"" // ""phosphatidylcholine biosynthesis I"
L-asparagine biosynthesis II	ASPARAGINESYN-PWY	
long chain fatty acid ester synthesis (engineered)	PWY-6873	
shikimate degradation II	PWY-6419	
glyphosate degradation II	PWY-7806	
CDP-archaeol biosynthesis	PWY-6349	
L-asparagine biosynthesis III (tRNA-dependent)	PWY490-4	
stearidonate biosynthesis (cyanobacteria)	PWY-7595	
D-<i>myo</i>-inositol-5-phosphate metabolism	PWY-6367	
superpathway of ubiquinol-8 biosynthesis (prokaryotic)	UBISYN-PWY	"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"" // ""4-hydroxybenzoate biosynthesis II (bacteria)"" // ""octaprenyl diphosphate biosynthesis"" // ""ubiquinol-8 biosynthesis (prokaryotic)"
L-isoleucine biosynthesis III	PWY-5103	
lactate biosynthesis (archaea)	PWY-5197	
methylamine degradation I	PWY-6967	
